,Unnamed: 0,remote_hostname,company,company_website,result
34,772,outbrainimg.com,Outbrain,https://www.outbrain.com/,CDN
35,772,outbrainimg.com,Outbrain,https://www.outbrain.com/,CDN
36,510,monoprice.com,Monoprice,https://www.monoprice.com/,e-commerce
37,510,monoprice.com,Monoprice,https://www.monoprice.com/,ecommerce
38,2857,nbcuni.com,NBCUniversal,https://www.nbcuniversal.com/,first-party host
39,2857,nbcuni.com,"NBCUniversal Media, LLC",https://www.nbcuniversal.com/,It is not possible to determine the purpose of the domain just based on the company's domain name. 
40,1880,philips-hue.com,Philips,https://www.philips.com/,marketing
41,1880,philips-hue.com,Philips,https://www.philips.com,smart lighting control and automation
42,3491,vzwshop.com,Verizon Wireless,https://www.verizonwireless.com/,marketing
43,3491,vzwshop.com,Verizon Wireless,https://www.verizonwireless.com/,e-commerce website for purchasing Verizon Wireless products and services
44,227,cloudapp.net,Microsoft Corporation,https://www.microsoft.com/,CDN
45,227,cloudapp.net,Microsoft,https://www.microsoft.com,"CloudApp.net is a cloud-based application development platform provided by Microsoft. It allows developers to build, deploy, and manage applications in a cloud environment."
46,343,sophos.com,Sophos,https://www.sophos.com/,DNS
47,343,sophos.com,Sophos,sophos.com,Security software and hardware provider
48,1388,fox.com,Fox Broadcasting Company,https://www.fox.com/,first-party host
49,1388,fox.com,Fox,https://www.fox.com/,static server
50,3366,infuturo.it,In Futuro,https://www.infuturo.it/,first-party host
51,3366,infuturo.it,Infuturo,https://www.infuturo.it/,It is not possible to determine the purpose of the domain solely based on the domain name. More information is needed.
52,1636,dell.com,Dell,https://www.dell.com/,first-party host
53,1636,dell.com,Dell,https://www.dell.com/,E-commerce website to sell Dell products and services.
54,3436,msocdn.com,Microsoft,https://www.microsoft.com/,CDN
55,3436,msocdn.com,Microsoft,https://www.microsoft.com/,CDN
56,740,bravesoftware.com,Brave Software,https://brave.com/,marketing
57,740,bravesoftware.com,Brave Software,https://brave.com/,"Web browser with built-in ad and tracker blocking, and privacy features."
58,2505,proofpoint.com,Proofpoint,https://www.proofpoint.com/,marketing
59,2505,proofpoint.com,Proofpoint,https://www.proofpoint.com/,security
60,2883,sctv.ch,SC Television SA,https://sctv.ch/,"{'purpose': 'first-party host', 'description': 'The provided URL is the first-party host for SC Television SA website.'}"
61,2883,sctv.ch,Swisscom TV,https://www.swisscom.ch/en/residential.html,Video streaming service
62,918,august.com,August,https://august.com/,marketing
63,918,august.com,August,https://august.com/,smart lock and home access control solutions
64,2111,nstorage.org,,,DNS
65,2111,nstorage.org,NStorage,https://nstorage.org,It is not possible to determine the purpose of the domain with just the information provided.
66,1236,verizon.net,Verizon Communications Inc.,https://www.verizon.com/,DNS
67,1236,verizon.net,Verizon,https://www.verizon.com/,DNS
68,1385,aws-prd.net,Amazon Web Services,https://aws.amazon.com/,CDN
69,1385,aws-prd.net,Amazon Web Services,https://aws.amazon.com/,"It is a domain used by Amazon Web Services for their production environment. It could be used for various purposes such as hosting applications, databases, or other services."
70,1469,windstream.net,Windstream Communications,https://www.windstream.com/,first-party host
71,1469,windstream.net,Windstream,https://www.windstream.net/,DNS
72,1310,foresee.com,Foresee,https://www.foresee.com/,analytics
73,1310,foresee.com,ForeSee,https://www.foresee.com/,customer experience analytics and predictive insights
74,2318,leboncoin.fr,leboncoin,https://www.leboncoin.fr/,classifieds advertising
75,2318,leboncoin.fr,Leboncoin,https://www.leboncoin.fr/,Classifieds website
76,113,mineproxy.club,Unknown,,"It is not possible to determine the purpose of the URL provided (mineproxy.club) as it does not belong to any known company or service in the fields of tracking, marketing, advertising, analytics, CDN, static server, DNS or first-party host."
77,113,mineproxy.club,MineProxy,https://mineproxy.club/,Proxy server for Minecraft game
78,781,openx.net,OpenX,https://www.openx.com/,advertising
79,781,openx.net,OpenX,https://www.openx.com/,advertising
80,2034,m.me,Facebook,https://www.facebook.com/,first-party host
81,2034,m.me,Facebook,https://www.facebook.com/,Messaging platform for Facebook Messenger
82,189,mozilla.net,Mozilla,https://www.mozilla.org/,DNS
83,189,mozilla.net,Mozilla,https://www.mozilla.org/,"[{'purpose': 'DNS', 'description': ""The domain 'mozilla.net' is used for DNS services by Mozilla, which is the process of converting human-friendly domain names into IP addresses that computers can understand.""}, {'purpose': 'CDN', 'description': ""The domain 'mozilla.net' is also used as a CDN (Content Delivery Network) for Mozilla products, to distribute content across the globe in a fast and efficient manner.""}]"
84,305,braze.eu,Braze,https://www.braze.com/,marketing
85,305,braze.eu,Braze,https://www.braze.com/,marketing
86,2257,netnod.se,Netnod,https://www.netnod.se/,DNS
87,2257,netnod.se,Netnod,https://www.netnod.se/,DNS
88,1929,2cnt.net,2cnt.net,https://www.2cnt.net/,advertising
89,1929,2cnt.net,2CNT,https://www.2cnt.net/,CDN
90,6,spotify.com,Spotify,https://www.spotify.com/,first-party host
91,6,spotify.com,Spotify,spotify.com,music streaming service
92,1768,comloginc.net,Comdata,https://www.comdata.com,login portal for Comdata customers and cardholders
93,1768,comloginc.net,Comloginc,https://www.comloginc.net/,It is difficult to determine the purpose of this domain without additional information as the website is currently under construction and no information about the company's services is available.
94,804,mcafee.com,McAfee,https://www.mcafee.com/,marketing
95,804,mcafee.com,McAfee,www.mcafee.com,Security software provider and antivirus solutions
96,1,google.com,Google,https://www.google.com/,"{'purpose': ['DNS', 'CDN', 'Analytics']}"
97,1,google.com,Google,https://www.google.com/,"{'purpose': ['Search Engine', 'Advertising', 'Analytics', 'CDN', 'Email', 'Cloud Storage']}"
98,2141,verisign.com,Verisign,https://www.verisign.com/,DNS
99,2141,verisign.com,Verisign,verisign.com,DNS
100,3109,songspoint.info,,,
101,3109,songspoint.info,Unknown,,"It is difficult to determine the purpose of songspoint.info without further information. The domain name suggests that it may be a website related to music or songs, but without access to the website or additional information, no definitive answer can be provided."
102,3286,amcrestddns.com,Amcrest,https://amcrest.com/,DNS
103,3286,amcrestddns.com,Amcrest,https://amcrest.com/,DNS
104,1067,cloudedic.net,Cloudedic,https://www.cloudedic.net/,DNS
105,1067,cloudedic.net,CloudEDIC,https://cloudedic.net/,It is not possible to identify the purpose of the domain solely based on the domain name.
106,3424,mojang.com,Mojang AB,https://www.mojang.com/,first-party host
107,3424,mojang.com,Mojang AB,https://www.mojang.com/,"The domain mojang.com is used as the primary website for Mojang AB, a video game development company. The website serves as a platform for Minecraft, one of their most popular games, where users can purchase the game, access support, and download updates. The domain is also used for hosting forums and wiki for Minecraft community. Additionally, it serves as a static server for serving game assets, such as skins and textures."
108,2378,sunpowermonitor.com,SunPower,https://www.sunpower.com/,analytics
109,2378,sunpowermonitor.com,SunPower,https://us.sunpower.com/,tracking
110,410,twitch.tv,Twitch,https://www.twitch.tv/,CDN
111,410,twitch.tv,"Twitch Interactive, Inc.",https://www.twitch.tv/,Live video streaming platform for gamers and other creatives
112,2950,comsouth.net,ComSouth,https://www.comsouth.net/,DNS
113,2950,comsouth.net,ComSouth,https://www.comsouth.net/,DNS
114,1227,responsys.net,Responsys,https://www.oracle.com/marketingcloud/products/campaign-management/,marketing
115,1227,responsys.net,Responsys,https://www.oracle.com/marketingcloud/products/cross-channel-orchestration/,Marketing
116,2406,ustc.edu.cn,University of Science and Technology of China,https://www.ustc.edu.cn/,first-party host
117,2406,ustc.edu.cn,University of Science and Technology of China (USTC),http://en.ustc.edu.cn/,DNS and static server
118,1577,exacttarget.com,ExactTarget,https://www.salesforce.com/products/marketing-cloud/email-marketing/what-is-email-marketing/,marketing
119,1577,exacttarget.com,ExactTarget,exacttarget.com,marketing
120,906,adgrx.com,AdGear,https://adgear.com/,advertising
121,906,adgrx.com,Adgrx,https://adgrx.com/,advertising
122,3469,mystrom.ch,mystrom,https://www.mystrom.ch/,"{'purpose': 'first-party host', 'explanation': 'mystrom.ch seems to be the official website of the company, therefore it is considered a first-party host. It is not used for tracking, marketing, advertising, analytics, CDN or static server purposes.'}"
123,3469,mystrom.ch,mystrom.ch,https://mystrom.ch/,['IoT devices']
124,768,google.pl,Google,https://www.google.com/,first-party host
125,768,google.pl,Google,https://www.google.com/,Search engine
126,1142,forzamotorsport.net,Microsoft Corporation,https://www.microsoft.com/,marketing
127,1142,forzamotorsport.net,Microsoft Corporation,https://www.microsoft.com,Gaming Website
128,1606,page.link,Firebase,https://firebase.google.com/,URL shortening and deep linking platform for mobile apps
129,1606,page.link,Page,https://page.link,URL shortening service
130,1348,classdojo.com,ClassDojo,https://www.classdojo.com/,first-party host
131,1348,classdojo.com,ClassDojo,https://www.classdojo.com/,education and communication platform
132,419,zillowstatic.com,Zillow Group,https://www.zillowgroup.com/,static server
133,419,zillowstatic.com,Zillow Group,https://www.zillowgroup.com,static server
134,435,tuyaeu.com,Unknown,,Cannot determine the purpose of the provided URL
135,435,tuyaeu.com,Unknown,,Unable to determine the purpose of this domain as no website is associated with it.
136,846,tivo.com,TiVo Corporation,https://www.tivo.com/,marketing
137,846,tivo.com,TiVo,https://www.tivo.com/,"{'purpose': ['marketing', 'tracking'], 'type': ['CDN'], 'content_delivery': 'Akamai'}"
138,2265,cphub.net,CPHUB,https://cphub.net/,CDN
139,2265,cphub.net,CPHub,https://www.cphub.net/,CDN
140,1735,adnexus.net,AppNexus,https://www.appnexus.com/,advertising
141,1735,adnexus.net,AppNexus,https://www.appnexus.com/,advertising
142,885,giize.com,Marketing,https://www.giize.com/,"Giize.com appears to be a marketing website, potentially used for promoting products and services."
143,885,giize.com,Giize,https://giize.com,It is not possible to determine the purpose of this domain without further information or access to the website.
144,434,adblockplus.org,Adblock Plus,https://adblockplus.org,advertising
145,434,adblockplus.org,Adblock Plus,https://adblockplus.org/,"The purpose of the domain is to provide information and download links for Adblock Plus, a browser extension used for blocking online advertisements."
146,3242,glesys.net,GleSYS,https://glesys.com/,CDN
147,3242,glesys.net,GleSYS,https://glesys.com/,DNS
148,1228,adtidy.org,AdTidy,https://www.adtidy.org/,advertising
149,1228,adtidy.org,AdTidy,https://adtidy.org/,advertising
150,1000,espn.com,ESPN,https://www.espn.com/,CDN
151,1000,espn.com,ESPN,espn.com,"['Sports News', 'Streaming', 'Advertising', 'Marketing', 'Analytics']"
152,291,paypal.com,PayPal,https://www.paypal.com/,payment and financial services
153,291,paypal.com,PayPal,https://www.paypal.com/,"{'purpose': ['Payment processing', 'Fraud prevention', 'Identity verification', 'Risk management']}"
154,614,redbull.tv,Red Bull GmbH,https://www.redbull.com/,streaming platform for Red Bull-sponsored events and content
155,614,redbull.tv,Red Bull,https://www.redbull.com/,Video streaming and content delivery network (CDN) for Red Bull-sponsored events and productions
156,688,rubiconproject.com,Rubicon Project,https://rubiconproject.com/,advertising
157,688,rubiconproject.com,Rubicon Project,https://rubiconproject.com/,advertising
158,2754,dyndns-ip.com,DynDNS,https://www.oracle.com/dyndns/,DNS
159,2754,dyndns-ip.com,DynDNS,https://dyn.com/,DNS
160,953,criminalip.com,CriminalIP,https://www.criminalip.com/,DNS
161,953,criminalip.com,Criminal IP,https://criminalip.com,"It is unclear from the domain name alone what the specific purpose of this domain is. It could potentially be related to cybersecurity, law enforcement, or some other domain entirely."
162,1766,ucar.edu,University Corporation for Atmospheric Research,https://www.ucar.edu/,first-party host
163,1766,ucar.edu,University Corporation for Atmospheric Research (UCAR),https://www.ucar.edu/,Research and Education
164,2734,libbyapp.com,"OverDrive, Inc.",https://company.overdrive.com/,first-party host
165,2734,libbyapp.com,Libby,https://www.libbyapp.com/,e-book borrowing and reading service
166,2096,ign.com,IGN,https://www.ign.com/,marketing
167,2096,ign.com,IGN,https://www.ign.com/,"Gaming news, reviews, and walkthroughs."
168,2239,vilynx.com,Vilynx,https://www.vilynx.com/,marketing
169,2239,vilynx.com,Vilynx,https://vilynx.com,"The purpose of the domain appears to be video analytics and management, specifically for use with artificial intelligence and machine learning technologies."
170,1087,patch.com,Patch Media Corporation,https://www.patch.com,local news and information platform
171,1087,patch.com,Patch,https://www.patch.com/,Local news and community engagement platform
172,1309,siteimproveanalytics.io,Siteimprove,https://siteimprove.com/,analytics
173,1309,siteimproveanalytics.io,Siteimprove,https://siteimprove.com/,analytics
174,2345,web4net.org,Web4Net,https://www.web4net.org/,DNS
175,2345,web4net.org,Web4Net,https://web4net.org,It is not possible to determine the purpose of the domain without additional information or access to the website.
176,230,unmetered.com,CDN77,https://www.cdn77.com/,CDN
177,230,unmetered.com,Unmetered.com,https://www.unmetered.com/,"{'purpose': 'CDN', 'description': 'Unmetered.com provides Content Delivery Network (CDN) services that delivers content like images, video, and JavaScript to end-users from a nearby server, ensuring faster loading speeds, and better user experience.'}"
178,964,deezer.com,Deezer,https://www.deezer.com/,music streaming service
179,964,deezer.com,Deezer,www.deezer.com,music streaming service
180,3086,btopenworld.com,BT Openworld,https://www.bt.com/,CDN
181,3086,btopenworld.com,BT Openworld,https://www.bt.com/bt-plc/,"{'purpose': 'Internet Service Provider', 'services': ['Broadband', 'Web hosting', 'Email']}"
182,387,meraki.com,Meraki,https://meraki.com/,CDN
183,387,meraki.com,Meraki,https://meraki.com/,Networking and Security Solutions
184,287,microsoftonline.com,Microsoft Corporation,https://www.microsoft.com/,first-party host
185,287,microsoftonline.com,Microsoft Corporation,https://www.microsoft.com,DNS
186,1394,nodesource.com,NodeSource,https://nodesource.com/,static server
187,1394,nodesource.com,NodeSource,https://nodesource.com/,static server
188,2869,lbsg.net,,,
189,2869,lbsg.net,Lifeboat Network,https://lbsg.net,Gaming server network for Minecraft Pocket Edition
190,1231,pillpack.com,PillPack,https://www.pillpack.com/,first-party host
191,1231,pillpack.com,PillPack,pillpack.com,Pharmacy and medication management
192,998,llnwi.net,Limelight Networks,https://www.limelight.com/,CDN
193,998,llnwi.net,LLNW,https://www.limelight.com/,CDN (Content Delivery Network)
194,1675,yandex.com,Yandex,https://yandex.com/,DNS
195,1675,yandex.com,Yandex,https://yandex.com/,"{'purpose': 'Search Engine', 'services': ['Web Search', 'Image Search', 'Video Search', 'News', 'Maps', 'Translate', 'Marketplace']}"
196,995,itv.com,ITV,https://www.itv.com/,first-party host
197,995,itv.com,ITV,https://www.itv.com/,media streaming and broadcasting
198,792,directv.com,DIRECTV,https://www.directv.com/,"This website is a first-party host, used for providing information and services related to the DIRECTV satellite television service to their customers and potential customers."
199,792,directv.com,DirecTV,https://www.directv.com/,TV and video streaming service
