Unnamed: 0,remote_hostname,company,company_website,result,company_validation,correct_company,website_validation,correct_website,result_validation,correct_result
862,mxpnl.com,Mixpanel,https://mixpanel.com/,analytics,,,,,,
847,me.com,Apple Inc.,https://www.apple.com/,first-party host,,,,,,
2002,usabilla.com,Usabilla,https://usabilla.com/,marketing,,,,,,
2851,ieee.org,IEEE,https://www.ieee.org/,first-party host,,,,,,
3202,wfu.edu,Wake Forest University,https://www.wfu.edu/,first-party host,,,,,,
3466,fibaro.com,Fibar Group,https://www.fibaro.com/,first-party host,,,,,,
2605,tynt.com,Tynt,https://www.tynt.com/,tracking,,,,,,
2399,ogury.io,Ogury,https://ogury.com/,analytics,,,,,,
1313,weather.gov,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,first-party host,,,,,,
1739,univ-lyon1.fr,University of Lyon 1,https://www.univ-lyon1.fr/,first-party host,,,,,,
3002,veloxzone.com.br,Veloxzone,https://www.veloxzone.com.br/,first-party host,,,,,,
564,nordvpn.com,NordVPN,https://nordvpn.com/,VPN service provider,,,,,,
2284,17track.net,17track,https://www.17track.net/,tracking,,,,,,
3350,freeboxos.fr,Free,https://www.free.fr/,first-party host,,,,,,
1206,ispot.tv,iSpot.tv,https://www.ispot.tv/,advertising,,,,,,
890,gamepass.com,Microsoft Corporation,https://www.microsoft.com/,first-party host,,,,,,
3041,randomads.us,Random Ads,https://www.randomads.us/,advertising,,,,,,
2039,answerscloud.com,Answers Corporation,https://www.answers.com/,marketing,,,,,,
